Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2015-01-02,-0.01866670318333236,0.006852946060495162,-0.007764841413786988,-0.009299286739207331,-0.004964166661685127,-0.007457388452651317,0.0,-0.001687263452221177,0.005129966509887105,-0.013073770043580972,-0.008357484370781475,-0.001611274101846706,-0.008581849908253166,-0.005015343704164697,-0.0071420305752345455,-0.0016971923940650399,-0.003497925693218198,0.0013451829383592712,-0.0018413242138893497,0.0011979376766905708,-0.001881156104691726,-0.011270160179690344,-0.0036302442333450828,0.006112639823721244,-0.001834306361325573,-0.011079512862241596,-0.009013942211228167,-0.014821252470811298,0.00847428987805155,-0.0014705605795613346,-0.003377354255966972,-0.012297447876953924,0.0060863261352830005,-0.0008088528569853087,-0.007682802700272516,-0.00014447690761240842,-0.011111211737114818,-0.0024203718613621888,-0.012266600862822764,-0.007971041152412784,-0.00574301799800877,-0.004567503639042788,-0.016587976345580402,0.00029941806873675335,0.004638614133438107,-0.008489646054293023,-0.010904044467838369,-0.010052621533670154,-0.005058047806743952,0.004973161262207296,-0.0028435785781431603,0.0023883640381096847,0.004147913085117177,0.006279003757006633,-0.0190203697566944,-0.0116037504875735,-0.009285462094168237,0.009833474604387282,-0.0034719847326597397,-0.010517691745087642,-0.0016557971537361352,-0.003954093673446847,-0.006716174931402819,-0.0005244211674924769,-0.008744915809562236,0.0021408373854359536,0.0005625838145204528,0.01408388303838705,-0.015868422104805366,-0.006361471424616558,0.0,-0.015445155584540687,-0.005175043039740353,0.0019168938697689951,-0.004413002518984969,-0.007133246929415398,-0.0030916531853231,-0.0008689158076051896,-0.008436741530028437,-0.006267562548550896,0.003652607746712142,0.011886500500078738,0.008301291861712273,-0.010301184153920617,0.014307233110498389,0.0073529322823848746,-0.016102320366130855,-0.001494802788994709,-0.00711888734194343,-0.011067436601191761,-0.008030716871961777,-0.013295087477054005,0.006207378560661541,-0.0008514456861151249,-0.007467475594654318,-0.004298071736250071,0.006267600216020769
2015-01-05,-0.01901801429016521,-0.013062013821191508,0.0024523613109687136,-0.007982760929189219,-0.0031901784964961932,-0.012287836274580117,-0.003752345925885807,0.0035509061509356255,-0.014653356239700663,-0.01582437322654279,-0.015914920195039983,-0.020763521162323453,-0.004715718178295999,-0.02331648159083699,-0.02009115942047256,-0.03648969417038184,-0.016383019949890346,-0.013227236484405852,-0.025550903828551318,-0.037438127374516406,-0.005965008717162483,-0.015779065678169977,-0.012087016676033353,-0.03104860905283206,-0.011999167197448868,-0.007364944099054121,-0.009562420525584793,-0.004556221665039073,-0.02629805716200458,-0.018452195774800888,-0.00493649942033612,-0.009695234244632294,-0.009132509518151354,-0.021414816700821272,-0.011826167987278962,-0.017549508004889452,-0.016529283916149728,0.016143693431210894,-0.018756795697548356,-0.018108138715600307,-0.014695346904921195,-0.024752188136850203,-0.014899282048976894,-0.015942249545777363,-0.010973372543005382,-0.006930034518107333,0.006072283827888284,-0.016217874482623844,-0.0066260618598795165,-0.024632223749729433,-0.012967274708811816,-0.018015766070348643,-0.0051761523843681595,-0.018891693121411778,-0.01665830634552755,-0.0239689251314196,-0.011534646917342507,-0.012885645079202415,0.0011182812184524678,-0.0248283135603212,-0.01018248001280646,-0.016328980448747882,0.0010274168802582512,-0.0029247086194330338,-0.02527778337960511,-0.0008629364181858834,-0.009616405541747697,-0.04033146137926431,-0.010744235315544777,0.008674910338469488,-0.01703449969733388,-0.012991628762671735,-0.007652217063363097,-0.0060791027730201725,-0.002441204208342702,-0.007187071781410036,0.0029802409163798204,-0.01256214789410119,-0.0032496234281691777,-0.02568577336077016,-0.004465223953625755,0.0029597924914741944,-0.009492868459858509,-0.01595735904998991,-0.0074900571325484675,-0.00703057586168475,-0.021006828595227813,-0.010204115374092076,-0.01183446036363657,-0.03186048666408574,-0.016685386432349313,-0.018120523987730137,-0.01653111068510465,-0.010891770843255138,-0.01751486222401032,-0.000816986798757838,-0.01984820423438811
2015-01-06,-0.00263156895552309,-0.019854455502448902,-0.013200776355812627,-0.009069586532997487,-0.019933257005881215,-0.009544867690651422,-0.007575786282511008,-0.03773551559228525,-0.003362736381949972,-0.023263532976749234,-0.02766574514279951,-0.024078787706674657,-0.011848328345575634,-0.03267498702916301,-0.03010653193532955,-0.021481448445161644,-0.019108878863984987,-0.006646797282717441,-0.0383099570228378,-0.009323780449347696,-0.01347619328372771,-0.011700243050579673,-0.02052389676089505,-0.036815896832725716,0.008780099339350705,-0.016987746588573757,-0.0033216548300144906,-0.004235883652152043,0.0014821311799244695,-0.006279012328830229,-0.009916317662907114,-0.007372908911821521,0.015318619518731227,-0.005282341598148558,-0.01537101037630693,-0.0004419709728943475,-0.01607286589060763,-0.008362272707723486,0.012705878047361507,-0.025646478135234397,-0.02698915227611907,-0.02022440659681384,-0.011033534897082784,-0.0021386109951859146,-0.022804550280382908,-0.022422549406113153,-0.03075101221370596,-0.0069211147351379496,-0.010211027777368336,-0.02775633564315902,0.0011782548244193799,-0.01035449657685965,-0.002864466998955757,-0.006454713993616016,-0.004519372222751382,-0.0068366961848905705,-0.0029177806782483304,-0.010503060902897012,-0.010892424026531502,-0.03251521866112909,-0.014082926668899884,-0.013585289980887797,-0.0004082559325355015,0.034404721993902064,-0.02842262136035667,-0.01586471439045409,0.0004719718045218153,-0.018023326818201714,-0.010062196434546554,-0.012733306521473439,-0.032302200108169414,-0.0211017457300017,-0.011331015905406739,0.004785458554505341,-0.007892866278100557,0.0017277480758197204,-0.013357202422704493,-0.006702810630807983,-0.013912526001868509,-0.03731905506028501,0.0111168245994401,0.02161415991267424,-0.005046771478915501,-0.00445137069471443,-0.009382276829692605,-0.005936931830945928,0.005791051636271241,-0.021210322789278632,-0.009157333547306115,-0.018101199741525124,-0.006585369933661426,-0.016768587686781508,-0.008853925136518826,0.005328798608256657,-0.02390095446005763,0.0038307763986482196,-0.004776463578248688
2015-01-07,0.005117508815046175,0.035897399760079496,0.0006704387336384286,0.01559591174201724,0.004792847825352833,-0.004578343352951095,-0.01919452034110022,0.02657607906081234,0.00445437512014196,0.0030876335247970533,0.018377271017369197,-0.007831919843037839,0.005963146527380022,-0.011737156809525508,0.009773768038285611,-0.019627238440176744,0.012066562051485794,0.0015204015117686357,-0.0066225439589864665,0.005023355822404345,0.003223936373733896,-0.005241755105073172,-0.002123082867039792,-0.01036447184663649,0.011989556282318023,-0.014993317848466057,0.005878042326694572,0.0106896492836162,-0.01206329416702398,-0.006306232609821947,-0.0031789160542604654,0.0011856709396829627,0.002489174287014523,-0.011707596486604145,-0.0054226420709222066,-0.004354384230995522,-0.005384146112835297,0.0017104063484351581,0.01716661300463375,-0.011705284300921716,-0.011416359157910064,0.0022986280677753453,0.020513565957107505,-0.0027291136460026785,-0.013771242175622351,0.010605766979263504,0.007925731600759045,-0.002178864467668392,0.015754313399341403,-0.01378635993235846,0.004429484789317908,0.0034104033950179157,-0.011489361056768274,0.007944245229011656,0.019843629981481127,0.0014258883927239826,0.00800986802754214,0.025373079514391366,0.017689775391058635,0.0013680564433741589,-0.007978599590518134,-0.0006255181578243115,0.011087689861405356,0.019173072641714427,0.0002707004667342777,0.005422418718936512,-0.00605972021791236,-0.012844930153609048,0.013370340451985355,0.0026865875497921296,-0.009877872976942256,-0.004162825118540226,0.006391813305047166,0.00408995343325692,0.001444333920051102,-0.0011008987242309579,0.004894647371072673,0.003376569771498186,0.017772173505046104,0.00804908811524852,0.010190882896044211,0.014738501326448187,-0.012284795425650174,0.0249270996230978,0.018553079886190045,0.03603993648319687,-0.011312928006090775,0.01336919798499681,0.009754225094850022,-0.0027432890533480555,0.0018456718705230743,-0.0011474295779553333,0.009665296731948447,-0.015680690049073524,-0.004379699213663196,0.020755674085362157,0.0007718994016631834
2015-01-08,0.024060458776546247,-0.007806305274230202,0.010784778994565383,0.00983904702666557,0.021065033983611273,-0.003313025131052364,0.007692338569246961,-0.01216649362210566,0.0035089361570591663,0.00046605877108052695,0.031913363850718024,0.0015298810368963754,0.00914638164611402,0.007547267478713252,0.0040475604115658564,0.024209075842663706,0.0016425033619970077,0.014765915184950528,0.00327834003858421,-0.005284190409308096,0.004774686655467888,0.011237044007836091,0.0007430958997029979,0.0012328839873750478,0.0,0.021739957301882423,-0.0010899432876238986,0.011291420024948429,0.011111236234099035,0.0037067076169127362,0.005940272875308001,-0.0008526253260157719,-0.0012961836861066578,0.018597589907235708,0.010683007150293982,0.016971176346329865,0.002053828965469813,0.014771316876392177,0.0038748840487300568,0.009373794872356598,0.010709943511527474,0.004846951925192131,0.012730601928178039,0.00958850790992311,0.013856493895928659,0.008759971306749686,0.007596107812912535,0.008289403351631848,0.0031066331014697164,0.006979060677330446,0.007613326001825204,0.0038241392449346497,0.012352009528019155,0.021916329370906037,0.01010250963339381,0.003983092607353068,0.0013786231642472593,0.013390666019865384,0.014010749490265319,0.010054241656940539,0.018590807286753396,0.0183796919217872,0.009110835476693616,0.013616563174567676,0.005349056776592756,0.017808402604624646,-0.0025991512811210024,0.013909599673900517,0.014529042288785265,0.014916883612846104,0.025498552895087737,-0.005055185820266829,0.0076203178815041645,0.004935277916494143,0.006828918607166223,0.007503396435441492,0.0028223804388527573,0.0063876060266057156,0.0019414644250327303,0.008528108839285975,-0.0013895723292866725,-0.003489650845280376,0.007791479729401267,0.0041574661105462695,0.006237247528523734,0.024417005180579234,-0.010344180537781545,0.0082474436294444,0.030350875782027668,0.026659029068535983,0.010195834553693453,-0.002276920124059061,0.004737997841601435,0.0162397190469515,0.010510632911085033,0.01402516518926587,0.010682501182441087
2015-01-09,-0.005875003829159242,-0.013739231048944154,-0.012094688004153503,-0.0018917067120912037,-0.014510074002490592,-0.016369432934942963,0.0,-0.019269882242242214,-0.006317366098537363,-0.015207255253626973,0.004107587821205469,-0.012747465607085435,-0.0003800634996502029,-0.02328391762572807,-0.011463653053954729,-0.029541488348398776,-0.013537874172937014,-0.009076706317930327,-0.027005029698974618,-0.01258449335586779,-0.010873612269554057,-0.005668847232916616,-0.01909334521817088,-0.0003080898278939049,-0.008061116556671924,-0.017047804661682407,0.004327480142785669,0.0023515754083055155,-0.017678503169834194,-0.00987517135242282,-0.010236224780491339,0.0021242381328321815,-0.0008238651051359531,-0.014993731996114439,-0.01065765109581007,0.004326869889217128,-0.020186085284940657,-0.012735286941046966,-0.017270594684241074,-0.017164446585423387,-0.014788696559897634,-0.016568621930794166,-0.018794507935979952,-0.017633936529893483,0.004346032342464313,-0.0002720559352156936,-0.026473790291538016,-0.019205043958254904,-0.014756203626132057,-0.02298953575708787,-0.010173554600352545,-0.017221595971846117,-0.0014289581564870925,-0.00035883246300376983,-0.017697026658152044,-0.01795716049249712,-0.00812059313445805,-0.002415140029579741,-0.003086571992470722,-0.0182565178049148,-0.005899710581319317,-0.01370346930188244,-0.007481843830979974,-0.003988177886918866,-0.018802615059195577,-0.008860859389264286,-0.010169457919744088,-0.012464137747475741,-0.00974507453220428,-0.03182320134551096,0.0005015939526396355,-0.013505988974545996,-0.007511516993599531,0.005220366305379734,-0.010251980919264629,-0.009864144511010321,-0.002013579149089437,-0.007949348365833596,-0.014927469090025106,-0.034206124612027405,-0.012397657874006247,0.008224195475708717,-0.006565277653955325,-0.010801091640352272,-0.007754017800496933,0.003081671770189054,-0.010876510453601607,0.0022412959346536786,-0.006726238007247352,-0.018099248072082585,-0.0075444782308995845,-0.021189230859310897,-0.011752669582277069,-0.010001173507291046,-0.01619317252399136,-0.010797691934689223,-0.002169247878641819
2015-01-12,-0.03020286817856795,-0.00878119508359326,0.004397561101033387,0.004478806274632105,-0.014101378612729445,-0.014786976147411696,0.003809615610064452,0.0,-0.006746218532174873,-0.020884666838699033,-0.018345612262178363,-0.01111122542507061,-0.010414068295135888,-0.020178734814349997,-0.01445180142099783,-0.014045365912220433,-0.00940994077734371,-0.03243703399541352,-0.008695679761345335,-0.00962101057796858,-0.0049685377146514095,-0.001245381172997594,-0.009191167806285292,-0.01697889901087819,-0.007410013185580846,-0.012394739827481318,0.0017840945942336007,-0.0028765831244494397,-0.014905398793227253,-0.0005850020950744999,-0.006725265288285914,-0.002431969002807548,-0.002232476258081827,-0.00728604723243572,-0.008597059633630843,-0.012180787751103834,-0.00374610944938794,-0.015976789632921193,0.0008373700044914972,-0.0048405745352121535,-0.004376168828790955,-0.012297731641994568,-0.0071568606745816415,-0.007589226289290501,-0.01623164920160387,-0.008163393681573417,-0.013515270282681043,0.005112878733402527,-0.0056257248528740625,-0.007620000394803179,-0.01003392643691467,-0.003160260965094284,-0.011458204067098939,-0.005333585121941879,-0.011138941806881538,-0.012517336053476371,-0.005575190172873061,-0.0027086226910005883,0.00013431996542012138,-0.013785176721503329,-0.014492944344793632,-0.010212654093445258,0.0025562348908712393,-0.012759348838561167,-0.015280007497232179,-0.017443533636288443,-0.0012213770648854527,-0.03331280961510724,-0.0005214898240287391,0.015815846162396955,-0.015121241687110628,0.00023118309063029638,-0.005481720223941161,0.003056255894340014,-0.00620850312702429,-0.0007221661035017535,-0.007717859694094702,-8.738425100929949e-5,-0.0007475399924097944,-0.010241975896168477,-0.004816418679412098,-0.0006097468747123237,-0.0029815325546892766,0.007203166835562052,-0.012451346871152718,-0.0027294429282295023,-0.004145474611807917,-0.011604149359857558,-0.01240444967336452,-0.003153752991016396,-0.002550545948256886,-0.009820003263179321,-0.003915176137048605,0.0017007195744272064,-0.010131073722742015,0.007358690170665226,-0.01002372257039834
2015-01-13,-0.010918214267444486,-0.0360972010758092,-0.01623158562267919,0.0006682092508996521,-0.01908295138960231,-0.013975522963408456,0.00754719816612951,-0.023884203930402016,-0.01691785065196968,-0.009253325284524579,-0.011630280529813523,-0.011587798589172641,-0.006307744718718109,-0.022243112810498556,-0.007782120419823481,-0.013998425564858502,-0.005159343500835747,0.008911541427002746,-0.012713706960444111,-0.015053401587889292,0.0010189926094334623,0.0,-0.017200381250412743,-0.011939965399175845,-0.007836537238888235,-0.00721897543329221,-0.003906902644769107,-0.009110974749899865,-0.025768774113490368,-0.0019772983698675872,-0.01143407262386551,-0.0009449923243676889,0.0019909611857723475,-0.007462051803863563,-0.01406961070391433,-0.012405505624866484,-0.016625503677672102,-0.046627550276244975,-0.02327321668599674,-0.005346609470029166,-0.001533293092814631,-0.008882775855165994,-0.01606614120271075,0.0001008831558954706,-0.0028655784332906214,-0.01008592268784203,-0.014721356420238401,-0.01962743316667193,-0.0064700538774842015,-0.007112615495140839,-0.0046805785463626395,-0.011093628172765898,-0.009896136073059336,-0.009167998149364101,-0.00938697691781971,-0.006442318727398261,-0.01199281024002988,-0.011400725199640001,-0.028308199781735384,-0.020270902873071067,-0.010151133591155178,-0.009973806999789607,0.003122560072828755,-0.011510922972436248,-0.018424884969250634,-0.013072094390870176,-0.004671159425247821,0.005077750491336733,-0.013901391486800897,-0.007847818695519735,-0.009113990682924001,-0.01709043622296674,-0.003315718511680202,-0.013472349836874824,-0.0053014893627838545,-0.0026439292306339236,-0.013475979633877594,-0.010353702571758387,-0.007514671487425091,-0.012689585308143386,-0.006620508100135417,0.00040641012332237776,-0.006844304849529754,-0.012300632245467744,-0.009461111671367239,0.0006788374459307332,0.004563591024060606,-0.014667408017759988,-0.008405466981064966,-0.027952250949597975,-0.0034451281223241734,-0.016490380317882285,-0.00474365948181726,-0.006338479652419398,-0.008641451236304342,-0.01654579813235935,-0.009730254420502198
2015-01-14,0.006945761084687572,0.0170998757140239,-0.00022585833368983345,-0.008524077381470018,0.0015728982179192223,0.006835341315682561,0.01147248135567501,0.014869011101919136,-0.0012329956100076511,0.004579600273238234,0.02229918210729689,-0.004240482453637582,0.010408374943877812,0.002496937276350143,-0.007982991774023436,0.009234644023291305,0.0004918445155393191,0.014561419544737608,0.0018365509524768035,0.01380462155574823,0.008214767827450729,-0.00035818189935690276,-0.00895008802743825,0.012857767073717014,-0.005012161202605297,-0.0027908590873338395,0.002869439679657085,0.00339630674786901,0.006760089315050083,0.019263936743775082,-0.005525519651258784,0.0024438555735524486,0.007144149318571997,0.006056556512894903,0.016047025597517455,0.011128339664076477,0.00548183902423458,0.03339450021302261,-0.0017477829507262653,0.012496134347261233,0.010950548079383093,-0.0052571825169356904,0.0021457262043511997,0.010286838763761534,0.006051682800090888,0.0005502653683823294,0.012016785877713038,0.026594549603559753,0.0013470548485238721,-0.03510950758406665,0.011342265357453946,0.010570135807501052,0.014293255705474609,-0.004749857624407065,0.0035676842084356574,0.017648216929499125,0.0009837037607929116,0.00989836569297908,-0.0002786886727585799,-0.0014293188228036704,-0.0018336533290484814,0.005017595883440475,0.014212242442003137,0.014795997508965633,-0.0036853640442126153,0.0,0.015569589033985354,-0.016092372422317477,0.00352773723610619,0.0022636192766318673,0.014799925378401855,0.014032089115719515,0.012595795548162298,0.008347534867307963,0.0028933305858627445,0.014003078047443215,-0.0033176400801219206,0.003087868114813386,0.004611401134610871,-0.008411077124763,0.009810827851519347,0.014043700778403405,0.0015012463601745008,-0.003759891292653492,-0.005925358186437453,0.012249238487226437,0.0362503451642602,0.003040090693368954,0.016785806442123154,0.007662168135652674,0.0032053336156610134,-0.004103763685037496,-0.004217175574932694,0.0019179579751141906,0.004889985294191771,-0.01193631736366906,0.008842196940018362
2015-01-15,-0.029335193737708015,-0.017495924509325304,-0.012436547681749116,-0.009481998639118236,-0.02000064091458767,-0.01925780711758073,-0.03891538013877673,-0.027462990190296303,-0.014026639037526024,-0.024271780444304485,-0.02186732760487428,-0.018687852334615035,-0.0008448912565996244,-0.025334277553349705,-0.008553906637450847,-0.041991014181082156,-0.019146798848248672,-0.021985944086288525,-0.017420984667030848,-0.02007697727018922,-0.006419666569116525,-0.00017856768487637583,0.003123754589626765,-0.035198014429359006,-0.004583545962260122,-0.036348217970067855,-0.02450574180043443,-0.0056442558738646975,-0.016805547899830894,0.0020663572017528527,-0.01728247789902523,-0.0027519295255684735,0.010078309909037303,-0.010886929605458832,0.003226440653193267,-0.003262386852017154,-0.011804506677043441,-0.019319375469236302,-0.039588764267482014,-0.007504790770590589,-0.009635753456132956,-0.009423702556669975,-0.02261142228414921,-0.02189832925873269,-0.013622333774795764,-0.009351007761783018,-0.012497968832223209,-0.020274462199730166,-0.004672483523433833,-0.013367212324640007,-0.01056225633552602,-0.0042490044822073225,-0.009987307671225087,-0.009262004743953925,-0.019255777226054642,-0.01866965425971306,-0.006435844109030165,-0.006546609981513062,-0.005409533727614168,-0.02470278634172664,-0.031242134218780228,-0.007674340433269379,0.009767426780852705,-0.014598796612207877,-0.01207252828300728,-0.01613997243977581,-0.004567262117173957,-0.00637319216284671,-0.019420155193829915,-0.0469699948969575,-0.01418463327868692,-0.0197427958922639,-0.004850133099161009,-0.007073675656016963,-0.006986413321412909,0.0013290717979236293,-0.012253075698905883,-0.0057095740774970654,-0.012735802573319395,-0.021514180054664843,0.007706774498340445,0.004558801758847439,-0.006891396445777357,-0.02131223856424275,-0.01733067211801637,-0.01597855902494805,-0.01356266842469181,-0.009876632262151913,0.008653082935233434,-0.012110472715790509,-0.005110876874423169,-0.007058588926972989,-0.01404379976991303,-0.0033912676173791256,-0.009614473400096295,0.004358317092501339,-0.016389253916284426
