alg,fitness
GREEDY,-2.83502
RS,-3.45584
RS,-3.43927
RS,-3.46977
RS,-3.48781
RS,-3.45899
RS,-3.44592
RS,-3.42906
RS,-3.4304
RS,-3.46585
RS,-3.45313
RS,-3.38643
RS,-3.4888
RS,-3.47631
RS,-3.45133
RS,-3.46805
RS,-3.4816
RS,-3.49001
RS,-3.381
RS,-3.44591
RS,-3.44488
RS,-3.40355
RS,-3.42756
RS,-3.37241
RS,-3.46925
RS,-3.46645
RS,-3.41799
RS,-3.40078
RS,-3.48315
RS,-3.41497
RS,-3.48331
RS,-3.43983
RS,-3.42379
RS,-3.45689
RS,-3.46234
RS,-3.42368
RS,-3.42909
RS,-3.26943
RS,-3.46485
RS,-3.46441
RS,-3.35161
RS,-3.46518
RS,-3.33918
RS,-3.44101
RS,-3.38011
RS,-3.48224
RS,-3.4633
RS,-3.44673
RS,-3.4601
RS,-3.46743
RS,-3.32389
BL,-3.00061
BL,-3.01712
BL,-2.99657
BL,-3.02938
BL,-3.0209
BL,-2.96023
BL,-3.12011
BL,-2.99566
BL,-3.12502
BL,-2.97266
BL,-3.06907
BL,-3.07714
BL,-2.96001
BL,-3.02699
BL,-2.99179
BL,-3.07402
BL,-3.05039
BL,-2.96435
BL,-3.08771
BL,-2.98148
BL,-3.14151
BL,-3.08267
BL,-3.00696
BL,-2.97155
BL,-2.96385
BL,-3.04852
BL,-3.05572
BL,-2.98031
BL,-2.9382
BL,-2.96537
BL,-3.09358
BL,-2.9371
BL,-3.10395
BL,-3.11053
BL,-3.03375
BL,-2.93537
BL,-2.93522
BL,-3.03966
BL,-3.00817
BL,-3.03008
BL,-3.07302
BL,-3.05809
BL,-3.12203
BL,-2.96959
BL,-2.98133
BL,-2.99207
BL,-3.10461
BL,-3.13824
BL,-3.11501
BL,-3.03425
AM-BEST,-2.88444
AM-BEST,-2.87647
AM-BEST,-2.93035
AM-BEST,-2.8966
AM-BEST,-2.92134
AM-BEST,-2.88043
AM-BEST,-2.8997
AM-BEST,-2.93449
AM-BEST,-2.87912
AM-BEST,-2.91686
AM-BEST,-2.9102
AM-BEST,-2.90197
AM-BEST,-2.94747
AM-BEST,-2.92109
AM-BEST,-2.93283
AM-BEST,-2.89935
AM-BEST,-2.88237
AM-BEST,-2.90039
AM-BEST,-2.91643
AM-BEST,-2.95221
AM-BEST,-2.92
AM-BEST,-2.90731
AM-BEST,-2.89669
AM-BEST,-2.91097
AM-BEST,-2.9196
AM-BEST,-2.95091
AM-BEST,-2.90006
AM-BEST,-2.91797
AM-BEST,-2.91056
AM-BEST,-2.90471
AM-BEST,-2.91337
AM-BEST,-2.89628
AM-BEST,-2.93111
AM-BEST,-2.9112
AM-BEST,-2.90411
AM-BEST,-2.89575
AM-BEST,-2.90556
AM-BEST,-2.91007
AM-BEST,-2.89185
AM-BEST,-2.92357
AM-BEST,-2.89388
AM-BEST,-2.86907
AM-BEST,-2.90888
AM-BEST,-2.90193
AM-BEST,-2.91851
AM-BEST,-2.88667
AM-BEST,-2.91283
AM-BEST,-2.92044
AM-BEST,-2.88829
AM-BEST,-2.95149
BMB,-2.95699
BMB,-2.96669
BMB,-2.98844
BMB,-2.96781
BMB,-2.96262
BMB,-2.9603
BMB,-2.97535
BMB,-2.96145
BMB,-2.92277
BMB,-2.97375
BMB,-2.97328
BMB,-2.95961
BMB,-2.9608
BMB,-2.94829
BMB,-2.99228
BMB,-2.93434
BMB,-2.94028
BMB,-2.89875
BMB,-2.98535
BMB,-2.95813
BMB,-2.94408
BMB,-2.97233
BMB,-2.94949
BMB,-2.97182
BMB,-2.9646
BMB,-2.97599
BMB,-2.98384
BMB,-2.91317
BMB,-2.93977
BMB,-2.96543
BMB,-3.03301
BMB,-2.93809
BMB,-2.99993
BMB,-2.99125
BMB,-2.99331
BMB,-2.93537
BMB,-2.93522
BMB,-2.95957
BMB,-2.93803
BMB,-2.93524
BMB,-2.94502
BMB,-2.935
BMB,-2.95624
BMB,-2.96999
BMB,-2.95816
BMB,-2.99233
BMB,-2.91889
BMB,-2.96256
BMB,-2.92967
BMB,-2.93138
ILS,-3.0015
ILS,-3.01856
ILS,-2.99677
ILS,-3.0296
ILS,-3.02133
ILS,-2.9603
ILS,-3.11671
ILS,-2.99579
ILS,-3.12553
ILS,-2.97375
ILS,-3.06603
ILS,-3.08252
ILS,-2.9608
ILS,-3.02478
ILS,-2.99228
ILS,-3.07439
ILS,-3.05019
ILS,-2.96556
ILS,-3.08433
ILS,-2.98181
ILS,-3.14127
ILS,-3.08391
ILS,-3.00782
ILS,-2.97182
ILS,-2.9646
ILS,-3.04921
ILS,-3.05461
ILS,-2.98185
ILS,-2.93977
ILS,-2.96543
ILS,-3.08961
ILS,-2.93809
ILS,-3.10417
ILS,-3.11062
ILS,-3.03382
ILS,-2.93537
ILS,-2.93522
ILS,-3.04062
ILS,-3.0084
ILS,-3.03145
ILS,-3.06649
ILS,-3.05932
ILS,-3.12299
ILS,-2.96999
ILS,-2.9814
ILS,-2.99233
ILS,-3.10725
ILS,-3.13832
ILS,-3.10668
ILS,-3.03664
ES,-3.13713
ES,-3.11216
ES,-3.13744
ES,-3.11846
ES,-3.10846
ES,-3.11053
ES,-3.15467
ES,-3.10512
ES,-3.14777
ES,-3.10732
ES,-3.13088
ES,-3.13874
ES,-3.09538
ES,-3.1315
ES,-3.11719
ES,-3.1612
ES,-3.16372
ES,-3.114
ES,-3.16542
