alg,fitness
GREEDY,-3.69117
RS,-4.07824
RS,-4.21287
RS,-4.23568
RS,-4.17364
RS,-4.2233
RS,-3.81243
RS,-4.1391
RS,-4.05499
RS,-4.00021
RS,-4.35496
RS,-3.92384
RS,-4.32906
RS,-4.5891
RS,-4.09724
RS,-4.28147
RS,-4.03357
RS,-4.20116
RS,-4.15897
RS,-4.28743
RS,-4.02551
RS,-3.93056
RS,-4.00304
RS,-4.09324
RS,-4.23284
RS,-4.2615
RS,-4.05922
RS,-4.06951
RS,-3.99687
RS,-3.95004
RS,-4.20717
RS,-3.95854
RS,-4.12987
RS,-3.9216
RS,-4.3738
RS,-4.43831
RS,-4.06064
RS,-4.00371
RS,-4.20436
RS,-4.123
RS,-3.85078
RS,-4.29524
RS,-3.87526
RS,-4.2517
RS,-4.2845
RS,-4.37772
RS,-4.24718
RS,-3.94753
RS,-3.99589
RS,-4.02564
RS,-3.90582
BL,-3.83908
BL,-3.86778
BL,-3.90075
BL,-3.91886
BL,-3.88143
BL,-3.86881
BL,-3.9033
BL,-3.86006
BL,-3.87015
BL,-3.86649
BL,-3.89601
BL,-3.89943
BL,-3.77361
BL,-3.88542
BL,-3.84731
BL,-3.89682
BL,-3.88041
BL,-3.80827
BL,-3.88155
BL,-3.86568
BL,-3.92309
BL,-3.88243
BL,-3.87358
BL,-3.86478
BL,-3.86969
BL,-3.91097
BL,-3.88334
BL,-3.87455
BL,-3.87046
BL,-3.86885
BL,-3.89438
BL,-3.8593
BL,-3.89243
BL,-3.87961
BL,-3.85631
BL,-3.83466
BL,-3.85209
BL,-3.86726
BL,-3.86419
BL,-3.86291
BL,-3.87486
BL,-3.88529
BL,-3.88362
BL,-3.83535
BL,-3.83467
BL,-3.86243
BL,-3.89392
BL,-3.90497
BL,-3.88932
BL,-3.8579
AM-BEST,-3.74751
AM-BEST,-3.67325
AM-BEST,-3.76067
AM-BEST,-3.70538
AM-BEST,-3.77481
AM-BEST,-3.75845
AM-BEST,-3.73194
AM-BEST,-3.75545
AM-BEST,-3.73985
AM-BEST,-3.71196
AM-BEST,-3.77385
AM-BEST,-3.7757
AM-BEST,-3.74519
AM-BEST,-3.74479
AM-BEST,-3.79734
AM-BEST,-3.69463
AM-BEST,-3.75094
AM-BEST,-3.77466
AM-BEST,-3.7034
AM-BEST,-3.75227
AM-BEST,-3.7166
AM-BEST,-3.81264
AM-BEST,-3.75185
AM-BEST,-3.75131
AM-BEST,-3.71094
AM-BEST,-3.77974
AM-BEST,-3.78366
AM-BEST,-3.73152
AM-BEST,-3.74307
AM-BEST,-3.74726
AM-BEST,-3.72821
AM-BEST,-3.75203
AM-BEST,-3.78121
AM-BEST,-3.70833
AM-BEST,-3.76617
AM-BEST,-3.71523
AM-BEST,-3.69783
AM-BEST,-3.78572
AM-BEST,-3.7537
AM-BEST,-3.77077
AM-BEST,-3.74919
AM-BEST,-3.73837
AM-BEST,-3.71989
AM-BEST,-3.70101
AM-BEST,-3.72488
AM-BEST,-3.70968
AM-BEST,-3.71127
AM-BEST,-3.79128
AM-BEST,-3.69158
AM-BEST,-3.74325
BMB,-3.85909
BMB,-3.86523
BMB,-3.82643
BMB,-3.86299
BMB,-3.85605
BMB,-3.85764
BMB,-3.89872
BMB,-3.89624
BMB,-3.79855
BMB,-3.87066
BMB,-3.82477
BMB,-3.85222
BMB,-3.84847
BMB,-3.80625
BMB,-3.84594
BMB,-3.81198
BMB,-3.78063
BMB,-3.82537
BMB,-3.81583
BMB,-3.82651
BMB,-3.83984
BMB,-3.88794
BMB,-3.81054
BMB,-3.85917
BMB,-3.85352
BMB,-3.86566
BMB,-3.84833
BMB,-3.77225
BMB,-3.85471
BMB,-3.86747
BMB,-3.85615
BMB,-3.84436
BMB,-3.85084
BMB,-3.88016
BMB,-3.84914
BMB,-3.83466
BMB,-3.85149
BMB,-3.83845
BMB,-3.78598
BMB,-3.82072
BMB,-3.80114
BMB,-3.83336
BMB,-3.84925
BMB,-3.86784
BMB,-3.82918
BMB,-3.86863
BMB,-3.82414
BMB,-3.89201
BMB,-3.81969
BMB,-3.83819
ILS,-3.83093
ILS,-3.83844
ILS,-3.90423
ILS,-3.91805
ILS,-3.92291
ILS,-3.85764
ILS,-3.88472
ILS,-3.85586
ILS,-3.9076
ILS,-3.87066
ILS,-3.91349
ILS,-3.93575
ILS,-3.84847
ILS,-3.86677
ILS,-3.84594
ILS,-3.87711
ILS,-3.88578
ILS,-3.80485
ILS,-3.89042
ILS,-3.86037
ILS,-3.91821
ILS,-3.86824
ILS,-3.87723
ILS,-3.85917
ILS,-3.85352
ILS,-3.88975
ILS,-3.91186
ILS,-3.86963
ILS,-3.85471
ILS,-3.86747
ILS,-3.91124
ILS,-3.84436
ILS,-3.88213
ILS,-3.87761
ILS,-3.85628
ILS,-3.83466
ILS,-3.85149
ILS,-3.87562
ILS,-3.86612
ILS,-3.88387
ILS,-3.89233
ILS,-3.89371
ILS,-3.86922
ILS,-3.86784
ILS,-3.82711
ILS,-3.86863
ILS,-3.89116
ILS,-3.906
ILS,-3.88343
ILS,-3.86
ES,-3.93763
ES,-3.90184
ES,-3.89179
ES,-3.90263
ES,-3.86707
ES,-3.89034
ES,-3.9101
ES,-3.90358
ES,-3.89822
ES,-3.9194
ES,-3.91603
ES,-3.90602
ES,-3.91514
ES,-3.88596
ES,-3.91395
ES,-3.92862
ES,-3.91688
ES,-3.9237
ES,-3.91148
ES,-3.89419
