alg,fitness
ILS-ES,-3.1119
ILS-ES,-3.1136
ILS-ES,-3.1213
ILS-ES,-3.1174
ILS-ES,-3.11537
ILS-ES,-3.12594
ILS-ES,-3.12495
ILS-ES,-3.10295
ILS-ES,-3.09971
ILS-ES,-3.1128
ILS-ES,-3.1299
ILS-ES,-3.10987
ILS-ES,-3.12397
ILS-ES,-3.10646
ILS-ES,-3.11428
ILS-ES,-3.11013
ILS-ES,-3.12752
ILS-ES,-3.11798
ILS-ES,-3.10866
ILS-ES,-3.10325
ILS-ES,-3.11915
ILS-ES,-3.13092
ILS-ES,-3.12095
ILS-ES,-3.11969
ILS-ES,-3.11374
ILS-ES,-3.11349
ILS-ES,-3.11338
ILS-ES,-3.11075
ILS-ES,-3.12948
ILS-ES,-3.11774
ILS-ES,-3.12574
ILS-ES,-3.10892
ILS-ES,-3.11625
ILS-ES,-3.11285
ILS-ES,-3.11328
ILS-ES,-3.10019
