alg,fitness
ILS-ES,-4.38095
ILS-ES,-4.35911
ILS-ES,-4.49603
ILS-ES,-4.63906
ILS-ES,-4.3823
ILS-ES,-4.43216
ILS-ES,-4.45652
ILS-ES,-4.68146
ILS-ES,-4.50738
ILS-ES,-4.39635
ILS-ES,-4.3737
ILS-ES,-4.65669
ILS-ES,-4.66036
ILS-ES,-4.30298
ILS-ES,-4.37684
ILS-ES,-4.60907
ILS-ES,-4.51943
ILS-ES,-4.52401
ILS-ES,-4.55812
ILS-ES,-4.61637
ILS-ES,-4.59578
ILS-ES,-4.43135
ILS-ES,-4.55843
ILS-ES,-4.48882
ILS-ES,-4.6805
ILS-ES,-4.78999
ILS-ES,-4.4621
ILS-ES,-4.49553
ILS-ES,-4.64215
ILS-ES,-4.47494
ILS-ES,-4.5912
ILS-ES,-4.37725
ILS-ES,-4.55576
ILS-ES,-4.51537
ILS-ES,-4.45723
ILS-ES,-4.57802
